year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
2017,7,7,0,"39,6","-140,6",1,4,0,0,2,4,,1,CQGS,,0,20,3,"4,1",,97,3,2,1017,8,1,0,19,0,17,,"15,9",3,"16,4",7,7,4,,4,6,8,,2,"0,5",32,5,"0,5",,199,90,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NQ4U7A,3,0,1,0,1,7/07/2017 0:00:00
2017,7,4,6,"43,8","-166,4",1,4,0,0,2,4,,1,CQGS,,0,200,3,"4,6",,98,2,2,1028,3,"0,5",0,"11,5",0,11,,"10,6",3,"11,4",8,8,0,,7,7,A,,2,"0,5",30,8,1,,161,36,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NPRZIT,3,0,1,0,1,4/07/2017 6:00:00
2017,2,7,12,"-30,2","45,3",1,4,0,0,2,4,,1,CQGS,,0,80,4,"9,3",,98,2,1,"1012,5",7,2,0,26,0,"23,5",,"22,5",3,"25,6",4,4,2,,3,6,5,,4,"1,5",6,6,2,,434,5,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,N71ZR0,3,0,1,0,1,7/02/2017 12:00:00
2017,8,15,6,"44,7","-167,7",1,4,0,0,2,4,,1,CQGS,,0,250,3,"7,7",,98,2,2,"1018,5",2,"0,3",0,15,0,"14,5",,"14,2",3,"13,6",8,5,4,,5,9,4,,3,"2,5",24,4,"2,5",,161,47,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NV48YP,3,0,1,0,1,15/08/2017 6:00:00
2017,6,24,11,"5,6","82,7",1,4,0,0,2,3,,1,CQGU,,0,240,4,"11,8",,98,3,2,"1007,2",7,"0,8",0,29,0,26,,"24,9",3,29,4,2,1,,4,4,0,,4,"1,5",23,8,3,,294,52,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NOIB93,3,0,1,0,1,24/06/2017 11:00:00
2017,8,16,11,"19,7","-74,2",1,4,0,0,1,5,,1,CQGU,,0,50,4,"9,8",,97,2,2,1015,4,0,0,28,0,27,,"26,6",3,"29,8",4,3,1,,2,6,0,,4,1,5,7,"1,5",,278,94,992,114,5,1,2,,,,,,,2,111211,11111111111111,,,,NV9UJJ,3,0,1,0,1,16/08/2017 11:00:00
2017,7,10,6,"35,2","122,4",1,4,0,0,0,0,,1,CQGU,,0,290,4,"6,2",,98,3,2,"999,5",8,"0,3",0,26,0,24,,"23,2",3,"25,7",8,8,8,,5,A,A,,3,1,17,2,2,,190,52,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NQJBUY,3,0,1,0,1,10/07/2017 6:00:00
2017,6,24,8,"5,6","81,9",1,4,0,0,2,3,,1,CQGU,,0,240,4,"10,8",,98,2,0,"1008,1",7,"2,6",0,29,0,"25,5",,"24,2",3,"27,7",4,1,1,,5,8,3,,4,2,25,4,2,,294,51,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NOHQ7B,3,0,1,0,1,24/06/2017 8:00:00
2017,8,3,9,"46,6",-30,1,4,0,0,2,4,,1,CQGZ,,0,360,4,"7,7",,98,3,2,"1018,5",2,"0,5",0,19,0,17,,"15,9",3,20,7,4,4,,5,6,0,,3,1,34,6,3,,174,60,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NTMPEB,3,0,1,0,1,3/08/2017 9:00:00
2017,1,27,7,"-14,8","0,7",1,4,0,0,7,5,,1,CQIV,,0,160,4,"6,2",,97,1,1,"1019,3",4,0,0,"22,2",0,"19,8",,"18,6",1,"23,2",5,2,6,,3,1,0,,3,1,25,4,"1,5",,394,40,992,114,5,1,2,,,,,,,2,111131,11111111111111,,,,N5MPJI,3,0,1,0,1,27/01/2017 7:00:00
