wind_direction_true,wind_speed,wave_height,swell_direction,swell_height
100.0,3.1,0.0,4,1.0
200.0,5.1,0.5,16,1.0
170.0,6.7,0.0,14,0.5
170.0,5.1,1.0,13,1.5
250.0,14.9,2.0,25,4.0
340.0,4.1,0.5,5,0.5
30.0,11.3,2.0,36,2.0
130.0,3.1,0.5,22,0.5
190.0,9.3,3.0,19,3.0
280.0,4.6,1.0,13,1.0
10.0,7.2,0.5,5,0.5
20.0,11.3,2.0,20,3.0
60.0,6.7,1.0,36,1.0
300.0,10.8,3.0,27,5.0
110.0,9.3,0.5,12,1.0
290.0,8.2,1.0,29,3.0
210.0,6.2,0.5,23,0.5
240.0,6.2,1.0,23,1.0
60.0,10.8,0.5,4,2.5
120.0,10.3,1.0,13,1.0
90.0,7.7,1.0,8,1.5
60.0,4.1,0.5,5,0.5
230.0,8.2,0.5,22,1.5
220.0,9.3,0.5,22,1.5
190.0,10.8,1.0,15,2.0
10.0,10.3,1.5,1,1.5
130.0,5.1,0.5,23,0.5
100.0,11.8,2.0,29,2.5
40.0,13.9,3.5,4,3.5
20.0,20.6,2.0,13,2.5
150.0,4.6,0.5,7,2.5
60.0,1.0,0.5,7,0.5
20.0,4.1,0.5,6,0.5
20.0,11.3,1.0,35,2.0
180.0,7.7,0.5,25,0.5
70.0,10.8,1.5,6,2.5
30.0,4.6,0.5,21,0.5
290.0,12.9,1.5,7,1.5
230.0,8.2,1.0,25,1.0
70.0,7.2,0.5,4,1.0
80.0,7.7,1.5,6,1.5
50.0,13.4,3.0,4,3.5
10.0,15.4,1.0,1,1.0
80.0,6.2,1.0,5,1.5
90.0,7.2,1.0,7,1.5
140.0,10.3,1.0,21,1.5
230.0,17.5,2.0,16,3.0
80.0,2.6,0.5,16,0.5
340.0,6.7,1.0,30,2.0
80.0,15.4,1.0,12,1.5
230.0,7.2,0.5,20,0.5
40.0,11.8,2.0,3,2.0
60.0,11.3,2.5,5,3.0
200.0,2.6,0.5,17,1.5
80.0,10.3,1.5,36,1.0
70.0,15.4,1.0,26,1.5
360.0,9.8,1.5,19,2.0
250.0,9.8,1.5,4,1.5
340.0,7.7,0.5,1,0.0
180.0,13.9,1.0,16,5.0
70.0,7.2,1.0,14,2.0
200.0,4.1,0.5,19,0.5
90.0,6.7,0.5,29,1.0
340.0,2.6,0.5,32,1.0
190.0,5.1,0.5,11,1.5
40.0,14.9,3.5,5,3.5
110.0,6.7,1.0,11,1.0
10.0,8.2,1.0,33,2.0
250.0,3.1,0.0,25,0.5
200.0,5.1,0.5,18,0.5
150.0,6.2,0.5,18,1.0
270.0,4.6,0.0,28,0.5
50.0,3.1,0.0,34,1.0
230.0,5.7,0.0,23,1.5
350.0,10.3,2.0,15,2.0
350.0,7.7,0.5,29,1.0
230.0,14.9,1.0,20,1.5
200.0,3.6,0.5,1,0.5
40.0,7.7,1.0,2,2.5
150.0,5.1,0.0,4,1.5
200.0,8.2,1.0,18,1.5
250.0,9.3,1.0,21,2.0
210.0,5.1,1.0,2,1.0
180.0,1.0,0.0,26,1.0
110.0,2.6,0.0,23,0.0
130.0,6.7,0.5,6,1.0
150.0,13.4,2.0,10,2.0
30.0,9.3,3.5,2,3.0
20.0,2.1,0.5,4,1.0
110.0,13.9,2.5,5,3.0
50.0,5.7,1.0,3,2.0
330.0,3.1,0.0,2,1.5
220.0,18.0,4.5,23,2.5
250.0,9.3,1.5,24,2.0
100.0,10.8,1.5,9,1.0
270.0,10.8,1.0,38,1.5
70.0,6.7,0.0,1,1.5
130.0,9.3,1.5,12,2.0
130.0,6.2,0.5,9,1.5
80.0,8.7,1.5,4,2.5
174.0,8.0,2.0,15,2.0
20.0,8.2,1.5,5,2.0
270.0,9.3,1.0,25,1.5
180.0,17.5,2.5,4,3.0
90.0,4.1,0.5,7,1.5
70.0,7.2,1.5,32,2.0
200.0,4.6,0.5,21,1.0
70.0,13.9,2.0,7,2.5
220.0,2.6,0.0,12,1.0
280.0,11.3,1.5,27,2.5
290.0,7.2,1.5,30,1.5
160.0,6.7,1.0,33,4.0
70.0,8.7,1.5,34,3.0
300.0,11.3,1.5,28,3.5
130.0,11.8,2.0,9,2.0
350.0,0.5,0.0,14,0.5
200.0,8.2,0.5,22,1.0
310.0,14.4,1.5,2,2.0
190.0,4.1,1.0,7,2.0
40.0,9.3,0.5,3,1.0
30.0,8.2,1.0,4,1.0
290.0,11.3,3.0,28,5.0
210.0,8.7,1.5,4,1.5
240.0,5.7,0.5,33,1.5
350.0,5.7,0.0,7,0.5
350.0,7.7,1.0,22,1.5
90.0,10.8,1.5,6,2.0
270.0,9.3,2.5,8,3.0
50.0,9.8,1.5,2,2.5
80.0,4.1,0.5,26,1.5
230.0,5.7,1.0,24,1.0
130.0,15.9,3.0,23,4.0
250.0,10.8,0.5,38,1.0
250.0,17.5,3.5,25,5.5
270.0,12.9,1.5,29,2.5
270.0,3.6,0.5,30,2.0
200.0,12.3,1.5,17,2.0
30.0,15.9,3.5,20,4.0
50.0,12.3,2.0,2,3.0
70.0,7.7,1.0,8,1.0
290.0,3.1,1.0,32,1.0
300.0,17.5,3.0,32,3.0
120.0,8.2,0.5,13,0.5
150.0,2.1,1.5,34,2.0
90.0,4.1,0.5,12,1.5
10.0,16.5,1.0,2,2.0
190.0,4.1,0.5,21,0.5
60.0,9.8,1.5,11,3.0
180.0,10.3,3.0,10,2.0
40.0,6.2,1.0,3,1.5
160.0,6.7,0.5,13,0.5
350.0,9.3,1.0,34,1.0
190.0,20.1,1.5,28,1.0
70.0,6.2,1.5,5,1.5
250.0,10.8,2.0,25,2.5
340.0,5.1,1.0,4,1.5
340.0,12.9,1.5,2,1.0
140.0,2.6,0.5,19,1.5
70.0,8.2,0.5,14,2.0
310.0,5.1,1.0,22,1.5
190.0,6.2,0.5,18,1.0
30.0,10.8,2.0,4,3.0
160.0,6.7,1.5,6,3.0
210.0,10.3,1.0,25,1.5
90.0,6.7,1.0,27,1.0
350.0,10.8,2.0,3,2.0
360.0,5.7,1.0,4,2.0
110.0,6.2,0.5,9,1.0
310.0,10.8,2.0,25,3.0
80.0,6.2,1.0,14,2.0
280.0,9.8,1.0,27,2.0
50.0,8.0,2.0,4,2.0
270.0,7.7,1.5,23,1.5
50.0,9.0,1.0,3,1.5
50.0,9.8,1.0,5,1.0
350.0,5.7,0.5,1,2.0
290.0,21.6,2.5,21,4.0
230.0,10.3,1.5,31,1.5
210.0,9.8,1.0,26,1.0
210.0,3.6,0.5,35,2.0
140.0,15.4,1.5,25,2.5
310.0,16.5,1.5,27,2.0
260.0,12.9,3.0,26,3.0
280.0,12.9,2.0,34,1.5
290.0,22.1,3.0,24,2.0
260.0,12.9,2.5,23,3.0
350.0,9.3,1.0,36,3.5
290.0,19.5,4.0,24,1.5
270.0,11.8,2.0,25,2.5
320.0,10.3,1.5,17,2.0
280.0,15.4,2.0,36,1.5
250.0,15.4,4.0,25,3.5
260.0,12.9,2.0,26,2.0
10.0,6.7,0.5,1,1.5
160.0,6.2,0.5,13,0.5
50.0,11.3,1.0,5,1.5
100.0,2.1,0.5,10,0.5
350.0,3.6,0.5,4,4.5
120.0,6.7,0.5,26,3.0
310.0,13.9,3.0,1,2.5
330.0,7.7,1.5,7,3.0
250.0,10.3,1.0,19,2.0
350.0,7.7,1.0,23,2.5
290.0,10.8,2.0,26,2.5
90.0,12.9,1.5,9,2.0
180.0,5.7,0.5,31,1.5
250.0,19.0,3.0,22,3.0
190.0,9.3,1.5,32,2.0
90.0,9.8,1.0,9,2.0
140.0,6.2,0.5,31,2.0
350.0,17.0,3.0,35,5.0
210.0,7.2,0.5,28,2.0
330.0,7.2,2.0,31,2.0
240.0,3.6,0.5,30,2.0
250.0,4.6,2.0,29,2.5
200.0,21.1,3.0,19,3.0
360.0,5.7,1.0,33,2.5
40.0,9.8,1.0,25,1.0
174.0,8.0,1.0,5,2.0
120.0,7.2,0.5,28,2.0
230.0,6.2,1.5,24,1.5
